mean=37.36, min=2.00, max=346.00
mean=45.73, min=3.00, max=363.00
mean=59.13, min=2.00, max=381.00
mean=56.34, min=2.00, max=551.00
mean=62.87, min=2.00, max=579.00
mean=68.55, min=3.00, max=405.00
mean=75.87, min=2.00, max=549.00
mean=84.88, min=2.00, max=589.00
mean=87.10, min=2.00, max=629.00
mean=95.49, min=2.00, max=519.00
mean=98.89, min=2.00, max=549.00
mean=99.28, min=18.00, max=631.00
mean=110.25, min=2.00, max=537.00
mean=104.99, min=9.00, max=609.00
mean=103.67, min=4.00, max=551.00
mean=104.52, min=2.00, max=438.00
mean=109.81, min=6.00, max=568.00
mean=116.77, min=6.00, max=560.00
mean=111.11, min=12.00, max=558.00
mean=120.45, min=21.00, max=709.00
mean=117.00, min=2.00, max=529.00
mean=118.68, min=22.00, max=581.00
mean=113.90, min=4.00, max=547.00
mean=127.80, min=9.00, max=599.00
mean=128.72, min=22.00, max=689.00
mean=125.17, min=21.00, max=699.00
mean=133.87, min=9.00, max=651.00
mean=128.43, min=22.00, max=747.00
mean=132.13, min=22.00, max=591.00
mean=127.84, min=22.00, max=617.00
mean=137.18, min=2.00, max=749.00
mean=134.37, min=22.00, max=589.00
mean=140.81, min=2.00, max=611.00
mean=138.66, min=22.00, max=649.00
mean=140.79, min=4.00, max=657.00
mean=144.79, min=22.00, max=579.00
mean=138.76, min=22.00, max=519.00
mean=140.53, min=22.00, max=619.00
mean=148.97, min=22.00, max=619.00
mean=139.14, min=22.00, max=559.00
mean=139.91, min=22.00, max=629.00
mean=136.49, min=22.00, max=591.00
mean=150.10, min=2.00, max=607.00
mean=156.61, min=22.00, max=769.00
mean=145.93, min=21.00, max=619.00
mean=166.93, min=2.00, max=709.00
mean=149.77, min=19.00, max=739.00
mean=147.43, min=22.00, max=649.00
mean=164.47, min=22.00, max=679.00
mean=155.93, min=22.00, max=729.00
mean=160.58, min=22.00, max=549.00
mean=170.46, min=22.00, max=606.00
mean=162.27, min=6.00, max=654.00
mean=167.73, min=22.00, max=611.00
mean=162.57, min=22.00, max=709.00
mean=162.45, min=22.00, max=768.00
mean=166.76, min=11.00, max=846.00
mean=171.66, min=21.00, max=689.00
mean=173.68, min=6.00, max=699.00
mean=157.65, min=2.00, max=749.00
mean=170.79, min=22.00, max=799.00
mean=164.28, min=22.00, max=631.00
mean=169.29, min=22.00, max=685.00
mean=182.68, min=22.00, max=678.00
mean=176.35, min=22.00, max=790.00
mean=175.85, min=22.00, max=709.00
mean=175.87, min=22.00, max=651.00
mean=174.66, min=22.00, max=667.00
mean=176.33, min=5.00, max=681.00
mean=173.74, min=2.00, max=649.00
mean=171.40, min=11.00, max=707.00
mean=179.43, min=22.00, max=626.00
mean=181.25, min=23.00, max=740.00
mean=185.30, min=2.00, max=700.00
mean=181.96, min=22.00, max=719.00
mean=188.53, min=22.00, max=661.00
mean=185.66, min=22.00, max=607.00
mean=185.58, min=3.00, max=659.00
mean=188.42, min=22.00, max=649.00
mean=187.57, min=2.00, max=607.00
mean=192.90, min=22.00, max=660.00
mean=191.29, min=2.00, max=694.00
mean=195.10, min=7.00, max=641.00
mean=190.68, min=22.00, max=745.00
mean=195.96, min=22.00, max=739.00
mean=188.21, min=2.00, max=663.00
mean=188.96, min=22.00, max=779.00
mean=189.63, min=22.00, max=709.00
mean=201.19, min=7.00, max=701.00
mean=195.10, min=22.00, max=847.00
mean=208.55, min=9.00, max=839.00
mean=199.39, min=22.00, max=739.00
mean=197.57, min=22.00, max=646.00
mean=202.94, min=22.00, max=657.00
mean=194.38, min=22.00, max=598.00
mean=203.51, min=22.00, max=632.00
mean=213.19, min=7.00, max=708.00
mean=198.84, min=2.00, max=647.00
mean=210.31, min=22.00, max=712.00
mean=215.95, min=22.00, max=706.00
mean=218.59, min=22.00, max=809.00
mean=221.92, min=17.00, max=769.00
mean=215.65, min=6.00, max=830.00
mean=225.84, min=2.00, max=728.00
mean=216.52, min=5.00, max=629.00
mean=214.25, min=7.00, max=669.00
mean=212.78, min=22.00, max=629.00
mean=214.95, min=5.00, max=775.00
mean=225.39, min=2.00, max=669.00
mean=217.14, min=9.00, max=650.00
mean=224.31, min=8.00, max=678.00
mean=218.21, min=2.00, max=781.00
mean=209.91, min=22.00, max=644.00
mean=221.16, min=10.00, max=642.00
mean=220.43, min=5.00, max=681.00
mean=222.46, min=8.00, max=720.00
mean=227.56, min=18.00, max=808.00
mean=221.69, min=8.00, max=739.00
mean=231.48, min=4.00, max=787.00
mean=223.21, min=12.00, max=969.00
mean=230.63, min=22.00, max=779.00
mean=224.71, min=3.00, max=701.00
mean=230.31, min=10.00, max=897.00
mean=240.60, min=22.00, max=699.00
mean=230.87, min=7.00, max=689.00
mean=230.70, min=6.00, max=729.00
mean=229.00, min=2.00, max=759.00
mean=233.53, min=22.00, max=699.00
mean=232.77, min=22.00, max=739.00
mean=224.22, min=22.00, max=709.00
mean=235.20, min=12.00, max=679.00
mean=232.55, min=22.00, max=749.00
mean=235.30, min=22.00, max=680.00
mean=232.69, min=22.00, max=730.00
mean=226.44, min=2.00, max=763.00
mean=236.00, min=22.00, max=774.00
mean=243.16, min=22.00, max=679.00
mean=240.52, min=5.00, max=689.00
mean=241.60, min=9.00, max=744.00
mean=232.86, min=22.00, max=651.00
mean=242.06, min=22.00, max=697.00
mean=244.63, min=22.00, max=729.00
mean=234.60, min=3.00, max=719.00
mean=246.34, min=22.00, max=721.00
mean=237.79, min=5.00, max=749.00
mean=247.87, min=22.00, max=787.00
mean=251.83, min=22.00, max=709.00
mean=247.59, min=22.00, max=715.00
mean=242.60, min=23.00, max=907.00
mean=248.65, min=8.00, max=675.00
mean=244.88, min=22.00, max=759.00
mean=253.43, min=22.00, max=809.00
mean=252.42, min=22.00, max=719.00
mean=260.89, min=6.00, max=739.00
mean=240.64, min=5.00, max=698.00
mean=255.05, min=22.00, max=759.00
mean=253.77, min=22.00, max=862.00
mean=238.68, min=20.00, max=706.00
mean=251.22, min=22.00, max=771.00
mean=245.54, min=9.00, max=727.00
mean=253.23, min=22.00, max=656.00
mean=242.49, min=9.00, max=665.00
mean=255.45, min=22.00, max=732.00
mean=237.30, min=21.00, max=623.00
mean=246.37, min=22.00, max=781.00
mean=251.04, min=22.00, max=739.00
mean=255.46, min=6.00, max=759.00
mean=253.02, min=22.00, max=739.00
mean=244.85, min=22.00, max=709.00
mean=252.03, min=6.00, max=690.00
mean=243.79, min=5.00, max=660.00
mean=245.41, min=22.00, max=718.00
mean=245.64, min=22.00, max=712.00
mean=257.28, min=22.00, max=799.00
mean=250.05, min=22.00, max=805.00
mean=242.87, min=23.00, max=683.00
mean=249.62, min=12.00, max=685.00
mean=259.00, min=22.00, max=618.00
mean=257.64, min=19.00, max=781.00
mean=255.69, min=7.00, max=847.00
mean=250.74, min=22.00, max=633.00
mean=254.06, min=22.00, max=685.00
mean=259.47, min=5.00, max=859.00
mean=267.39, min=22.00, max=699.00
mean=241.74, min=20.00, max=769.00
mean=256.79, min=22.00, max=770.00
mean=272.44, min=6.00, max=804.00
mean=247.63, min=23.00, max=713.00
mean=258.99, min=22.00, max=719.00
mean=257.40, min=22.00, max=741.00
mean=259.68, min=22.00, max=837.00
mean=252.21, min=6.00, max=719.00
mean=256.18, min=22.00, max=723.00
mean=252.79, min=22.00, max=677.00
mean=265.27, min=5.00, max=689.00
mean=261.28, min=22.00, max=849.00
mean=262.16, min=4.00, max=719.00
mean=255.97, min=22.00, max=719.00
mean=272.22, min=22.00, max=789.00
mean=262.79, min=22.00, max=669.00
mean=251.80, min=22.00, max=689.00
mean=272.95, min=22.00, max=798.00
mean=261.66, min=22.00, max=766.00
mean=265.03, min=22.00, max=660.00
mean=242.91, min=10.00, max=645.00
mean=262.39, min=22.00, max=691.00
mean=253.88, min=22.00, max=850.00
mean=242.64, min=22.00, max=691.00
mean=249.68, min=7.00, max=724.00
mean=252.11, min=22.00, max=733.00
mean=254.69, min=22.00, max=805.00
mean=270.57, min=22.00, max=719.00
mean=257.54, min=7.00, max=759.00
mean=264.50, min=22.00, max=679.00
mean=253.94, min=22.00, max=699.00
mean=257.11, min=22.00, max=689.00
mean=258.75, min=22.00, max=802.00
mean=253.04, min=22.00, max=696.00
mean=261.55, min=16.00, max=681.00
mean=258.71, min=13.00, max=677.00
mean=256.64, min=6.00, max=659.00
mean=271.31, min=6.00, max=901.00
mean=256.54, min=22.00, max=737.00
mean=263.03, min=22.00, max=912.00
mean=267.13, min=19.00, max=878.00
mean=259.66, min=9.00, max=727.00
mean=268.44, min=22.00, max=719.00
mean=255.79, min=22.00, max=809.00
mean=271.30, min=22.00, max=814.00
mean=261.46, min=22.00, max=719.00
mean=261.38, min=22.00, max=702.00
mean=268.97, min=10.00, max=705.00
mean=266.88, min=22.00, max=789.00
mean=260.60, min=22.00, max=769.00
mean=257.72, min=6.00, max=813.00
mean=271.79, min=7.00, max=817.00
mean=274.01, min=22.00, max=701.00
mean=271.81, min=13.00, max=717.00
mean=263.83, min=22.00, max=809.00
mean=252.82, min=22.00, max=809.00
mean=269.70, min=12.00, max=729.00
mean=272.67, min=22.00, max=739.00
mean=266.13, min=5.00, max=759.00
mean=256.94, min=5.00, max=699.00
mean=262.05, min=12.00, max=809.00
mean=264.29, min=22.00, max=749.00
mean=260.70, min=22.00, max=669.00
mean=271.98, min=22.00, max=759.00
mean=266.74, min=18.00, max=752.00
mean=268.68, min=23.00, max=746.00
mean=267.13, min=11.00, max=737.00
mean=268.18, min=22.00, max=1020.00
mean=268.71, min=14.00, max=759.00
mean=267.57, min=22.00, max=713.00
mean=265.00, min=22.00, max=735.00
mean=266.36, min=6.00, max=759.00
mean=268.13, min=22.00, max=803.00
mean=272.56, min=22.00, max=765.00
mean=282.68, min=22.00, max=779.00
mean=270.35, min=19.00, max=809.00
mean=273.44, min=22.00, max=749.00
mean=281.68, min=12.00, max=839.00
mean=276.25, min=23.00, max=749.00
mean=270.32, min=22.00, max=739.00
mean=277.53, min=22.00, max=708.00
mean=282.35, min=22.00, max=838.00
mean=272.42, min=11.00, max=681.00
mean=272.37, min=3.00, max=727.00
mean=263.25, min=11.00, max=700.00
mean=280.82, min=22.00, max=796.00
mean=263.72, min=14.00, max=804.00
mean=258.62, min=14.00, max=825.00
mean=273.48, min=23.00, max=743.00
mean=273.42, min=22.00, max=699.00
mean=269.61, min=22.00, max=869.00
mean=273.33, min=14.00, max=772.00
mean=276.63, min=8.00, max=909.00
mean=274.31, min=22.00, max=799.00
mean=255.97, min=3.00, max=769.00
mean=268.58, min=9.00, max=719.00
mean=266.38, min=5.00, max=879.00
mean=270.40, min=22.00, max=858.00
mean=274.67, min=22.00, max=728.00
mean=260.74, min=11.00, max=724.00
mean=259.25, min=23.00, max=825.00
mean=273.21, min=22.00, max=718.00
mean=268.96, min=22.00, max=871.00
mean=273.13, min=22.00, max=790.00
mean=268.57, min=21.00, max=729.00
mean=276.20, min=22.00, max=769.00
mean=274.56, min=22.00, max=739.00
mean=263.99, min=9.00, max=692.00
mean=263.35, min=22.00, max=916.00
mean=262.86, min=22.00, max=711.00
mean=271.15, min=22.00, max=769.00
mean=269.76, min=22.00, max=742.00
mean=270.29, min=7.00, max=910.00
mean=276.31, min=9.00, max=901.00
mean=271.38, min=9.00, max=739.00
mean=266.07, min=22.00, max=852.00
mean=272.59, min=22.00, max=819.00
mean=274.20, min=12.00, max=882.00
mean=253.95, min=22.00, max=806.00
mean=275.44, min=22.00, max=759.00
mean=264.46, min=22.00, max=679.00
mean=263.57, min=15.00, max=789.00
mean=276.26, min=22.00, max=659.00
mean=283.39, min=22.00, max=830.00
mean=258.78, min=13.00, max=708.00
mean=266.20, min=19.00, max=777.00
mean=274.82, min=17.00, max=769.00
mean=267.94, min=22.00, max=659.00
mean=274.20, min=22.00, max=762.00
mean=274.66, min=22.00, max=774.00
mean=271.28, min=11.00, max=740.00
mean=275.79, min=4.00, max=779.00
mean=274.13, min=15.00, max=789.00
mean=259.24, min=7.00, max=669.00
mean=266.90, min=22.00, max=709.00
mean=263.26, min=22.00, max=859.00
mean=259.47, min=22.00, max=699.00
mean=290.77, min=22.00, max=776.00
mean=266.95, min=23.00, max=666.00
mean=270.25, min=22.00, max=705.00
mean=276.63, min=22.00, max=689.00
mean=268.64, min=22.00, max=699.00
mean=272.32, min=22.00, max=695.00
mean=274.35, min=7.00, max=627.00
mean=253.67, min=22.00, max=774.00
mean=261.98, min=22.00, max=814.00
mean=261.52, min=22.00, max=759.00
mean=258.49, min=22.00, max=779.00
mean=260.06, min=11.00, max=727.00
mean=273.95, min=22.00, max=749.00
mean=276.79, min=22.00, max=809.00
mean=258.37, min=6.00, max=696.00
mean=258.12, min=22.00, max=729.00
mean=259.47, min=22.00, max=729.00
mean=272.57, min=22.00, max=759.00
mean=255.79, min=22.00, max=706.00
mean=243.15, min=23.00, max=812.00
mean=258.50, min=22.00, max=719.00
mean=265.79, min=13.00, max=751.00
mean=264.60, min=22.00, max=917.00
mean=256.00, min=22.00, max=699.00
mean=253.20, min=14.00, max=849.00
mean=264.43, min=22.00, max=779.00
mean=255.98, min=14.00, max=842.00
mean=250.18, min=11.00, max=867.00
mean=258.69, min=20.00, max=747.00
mean=262.56, min=15.00, max=886.00
mean=262.88, min=22.00, max=769.00
mean=271.48, min=22.00, max=741.00
mean=256.19, min=23.00, max=769.00
mean=258.62, min=22.00, max=799.00
mean=259.19, min=17.00, max=909.00
mean=258.99, min=22.00, max=751.00
mean=266.82, min=6.00, max=737.00
mean=254.56, min=12.00, max=619.00
mean=274.67, min=22.00, max=717.00
mean=267.90, min=13.00, max=778.00
mean=270.00, min=22.00, max=759.00
mean=262.58, min=16.00, max=819.00
mean=279.29, min=2.00, max=729.00
mean=269.25, min=22.00, max=749.00
mean=271.21, min=14.00, max=666.00
mean=259.48, min=21.00, max=850.00
mean=269.24, min=22.00, max=837.00
mean=268.34, min=17.00, max=749.00
mean=261.19, min=22.00, max=776.00
mean=261.06, min=24.00, max=833.00
mean=263.54, min=20.00, max=667.00
mean=265.83, min=22.00, max=689.00
mean=271.04, min=22.00, max=719.00
mean=265.62, min=3.00, max=678.00
mean=260.72, min=23.00, max=653.00
mean=268.51, min=22.00, max=719.00
mean=262.90, min=24.00, max=693.00
mean=260.18, min=22.00, max=829.00
mean=255.09, min=22.00, max=707.00
mean=268.14, min=22.00, max=681.00
mean=268.84, min=23.00, max=765.00
mean=268.55, min=11.00, max=691.00
mean=267.78, min=17.00, max=847.00
mean=262.98, min=5.00, max=775.00
mean=268.08, min=16.00, max=750.00
mean=279.54, min=11.00, max=689.00
mean=271.10, min=22.00, max=642.00
mean=274.95, min=22.00, max=715.00
mean=270.11, min=22.00, max=799.00
mean=266.13, min=22.00, max=719.00
mean=274.51, min=2.00, max=731.00
mean=263.93, min=22.00, max=722.00
mean=269.04, min=22.00, max=719.00
mean=259.26, min=22.00, max=690.00
mean=265.29, min=22.00, max=759.00
mean=268.01, min=22.00, max=669.00
mean=264.43, min=22.00, max=727.00
mean=269.47, min=20.00, max=783.00
mean=261.02, min=22.00, max=658.00
mean=264.16, min=22.00, max=736.00
mean=276.77, min=22.00, max=729.00
mean=266.13, min=22.00, max=884.00
mean=264.60, min=12.00, max=759.00
mean=267.26, min=22.00, max=809.00
mean=262.96, min=16.00, max=739.00
mean=269.21, min=22.00, max=741.00
mean=256.94, min=22.00, max=643.00
mean=267.69, min=22.00, max=979.00
mean=263.50, min=22.00, max=742.00
mean=257.17, min=22.00, max=638.00
mean=262.38, min=22.00, max=789.00
mean=261.86, min=17.00, max=699.00
mean=261.49, min=10.00, max=741.00
